"Severity","Distance.mi.","Description","Start_Lat","Start_Lng","City","County","State","Start_Time","End_Time","Timezone","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Junction","No_Exit","Traffic_Calming","Traffic_Signal","Duration","Time_of_Day"
1,0,"Crash on Daniels Pkwy at FL-82.",26.581758,-81.713837,"Fort Myers","Lee","FL","2022-07-01 07:32:07","2022-07-01 08:30:33","US/Eastern",78,78,90,30.05,10,"ENE",5,0,"Fair","False","False","True","False","False","False","True",58.4333333333333,"Night"
1,0,"At E Southern Ave - Accident.",33.3996,-112.06463,"Phoenix","Maricopa","AZ","2020-06-24 19:37:58","2020-06-24 20:22:58","US/Mountain",106,106,7,28.45,10,"N",7,0,"Mostly Cloudy","False","False","True","False","False","False","True",45,"Evening"
1,0,"Crash on North Ave at Wroe Ave.",39.769241,-84.20887,"Dayton","Montgomery","OH","2022-05-26 16:28:58","2022-05-26 17:43:43","US/Eastern",64,64,87,28.85,10,"NNW",6,0.01,"Light Rain","False","False","False","False","False","False","False",74.75,"Afternoon"
1,0,"At I-205/Veterans Memorial Hwy - Accident.",45.49706,-122.53765,"Portland","Multnomah","OR","2020-06-12 18:10:59","2020-06-12 18:25:59","US/Pacific",58,58,70,30.03,10,"S",3,0.01,"Mostly Cloudy","False","False","True","False","False","False","True",15,"Evening"
1,0,"Crash on US-178 Belton Hwy at SC-413.",34.499329,-82.523117,"Belton","Anderson","SC","2022-05-05 08:51:05","2022-05-05 10:01:53","US/Eastern",70,70,68,29.23,10,"VAR",3,0,"Fair","False","False","False","False","False","False","False",70.8,"Night"
1,0,"At White Bridge Pike/Roberson Ave - Accident.",36.15031,-86.85736,"Nashville","Davidson","TN","2020-05-18 14:36:16","2020-05-18 15:21:16","US/Central",67,67,81,29.14,10,"NNW",9,0,"Cloudy","False","False","False","False","False","False","False",45,"Afternoon"
1,0,"At S 32nd St - Accident.",33.40728,-111.99536,"Phoenix","Maricopa","AZ","2020-06-20 18:54:18","2020-06-20 19:54:18","US/Mountain",104,104,8,28.56,10,"NW",9,0,"Partly Cloudy","False","False","True","False","False","False","True",60,"Evening"
1,2.11,"Between Mallard Creek Church Rd/Exit 46 and Speedway Blvd/Exit 49 - Accident. Hard shoulder blocked.",35.34079,-80.7403,"Charlotte","Mecklenburg","NC","2020-04-01 09:02:58","2020-04-01 09:17:58","US/Eastern",48,45,71,29.1,10,"N",8,0,"Mostly Cloudy","False","False","False","False","False","False","False",15,"Night"
1,0,"At Sitterly Rd - Accident.",42.83788,-73.74219,"Halfmoon","Saratoga","NY","2020-05-15 17:46:56","2020-05-15 18:46:56","US/Eastern",82,82,35,29.26,10,"SW",13,0,"Mostly Cloudy","False","False","False","False","False","False","True",60,"Afternoon"
1,0,"Crash on US-29 Wilkinson Blvd at Hargrove Ave.",35.224949,-80.904381,"Charlotte","Mecklenburg","NC","2022-07-18 19:06:54","2022-07-18 20:06:39","US/Eastern",88,88,55,29.12,10,"S",17,0,"Partly Cloudy","False","False","False","False","False","False","False",59.75,"Evening"
1,0,"At 11th St - Accident. Hard shoulder blocked.",37.74067,-121.5042,"Tracy","San Joaquin","CA","2020-04-29 00:29:53","2020-04-29 00:59:53","US/Pacific",67,67,59,29.92,10,"NW",6,0,"Fair","False","False","False","True","False","False","False",30,"Night"
1,0,"Crash on Rockwell Ave Northbound at Landing Rd.",35.5439,-97.636673,"Oklahoma City","Oklahoma","OK","2022-05-25 17:38:45","2022-05-25 19:08:34","US/Central",56,56,84,28.4,10,"WNW",14,0.03,"Light Rain","False","False","False","False","False","False","False",89.8166666666667,"Afternoon"
1,0,"At Long Shoals Rd - Accident. One lane closed.",35.48542,-82.56022,"Asheville","Buncombe","NC","2020-06-25 22:40:00","2020-06-25 23:49:00","US/Eastern",69,69,75,27.88,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",69,"Night"
1,0,"At I-280/Alemany Blvd - Accident. Left lane blocked.",37.74496,-122.40522,"San Francisco","San Francisco","CA","2020-05-01 13:31:36","2020-05-01 13:46:36","US/Pacific",68,68,36,30.08,10,"WNW",18,0,"Fair","False","False","False","True","False","False","False",15,"Afternoon"
1,0,"At W Deer Valley Rd - Accident.",33.69585,-112.2031,"Glendale","Maricopa","AZ","2020-04-01 13:49:36","2020-04-01 14:34:36","US/Mountain",77,77,24,28.17,10,"N",3,0,"Fair","False","False","True","False","False","False","True",45,"Afternoon"
1,0,"Lane blocked due to crash on Page Dr at Old White Horse Rd.",34.849152,-82.447128,"Greenville","Greenville","SC","2022-05-02 19:11:45","2022-05-02 19:56:26","US/Eastern",84,84,38,28.9,10,"SW",9,0,"Fair","False","False","False","False","False","False","False",44.6833333333333,"Evening"
1,0,"At N Tucson Blvd - Accident.",32.25034,-110.9353,"Tucson","Pima","AZ","2020-04-30 15:39:38","2020-04-30 16:24:38","US/Mountain",98,98,8,27.05,10,"WSW",12,0,"Fair","False","False","True","False","False","False","True",45,"Afternoon"
1,0,"Crash on Santa Fe Ave at Marguerite Rd.",37.170712,-120.177513,"Chowchilla","Merced","CA","2022-08-22 04:44:45","2022-08-22 05:45:43","US/Pacific",65,65,70,29.68,10,"WNW",5,0,"Fair","False","False","False","False","False","False","False",60.9666666666667,"Night"
1,0,"At Berckmans Rd - Accident.",33.51078,-82.03388,"Augusta","Richmond","GA","2020-04-14 08:55:50","2020-04-14 09:40:50","US/Eastern",63,63,70,29.59,10,"NNW",8,0,"Fair","False","False","True","False","False","False","True",45,"Night"
1,0,"Crash on Fitzhugh Ave at Mckinney Ave.",32.816132,-96.791023,"Dallas","Dallas","TX","2022-08-09 07:57:24","2022-08-09 08:27:10","US/Central",84,84,63,29.53,10,"SSW",7,0,"Mostly Cloudy","False","False","True","False","False","False","True",29.7666666666667,"Night"
1,0,"Crash on US-1 Chamberlayne Pkwy both ways at Tazewell St.",37.56089,-77.442657,"Richmond","Richmond City","VA","2022-07-22 06:12:10","2022-07-22 07:16:03","US/Eastern",75,75,94,29.73,10,"W",5,0,"Partly Cloudy","False","False","False","False","False","False","False",63.8833333333333,"Night"
1,0,"Crash on LA-94 Carmel Dr at Teurlings Dr.",30.233089,-91.990082,"Lafayette","Lafayette","LA","2022-06-20 07:09:21","2022-06-20 08:17:39","US/Central",76,76,79,30.01,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",68.3,"Night"
1,0,"At Canal St - Accident.",29.95913,-90.07762,"New Orleans","Orleans","LA","2020-05-28 05:43:48","2020-05-28 06:13:48","US/Pacific",78,78,81,29.99,10,"VAR",3,0,"Mostly Cloudy","False","False","True","False","False","False","True",30,"Night"
1,0,"Crash on Ohio St at Fairbanks Ct.",41.892601,-87.620247,"Chicago","Cook","IL","2022-08-25 07:58:33","2022-08-25 08:43:51","US/Central",69,69,78,29.34,10,"SSW",8,0.02,"Cloudy","True","False","True","False","False","False","True",45.3,"Night"
1,0,"Crash on SC-80 J Verne Smith Pkwy at Tandem Dr.",34.893085,-82.233246,"Greer","Greenville","SC","2022-05-26 18:41:06","2022-05-26 19:10:48","US/Eastern",68,68,87,29.01,5,"S",12,0.35,"Rain","False","False","False","False","False","False","False",29.7,"Evening"
1,0,"At US-17-92/US-441/Orange Blossom Trl - Accident.",28.45018,-81.40144,"Orlando","Orange","FL","2020-03-18 19:29:31","2020-03-18 20:34:29","US/Eastern",76,76,62,30.15,10,"E",13,0,"Fair","False","False","True","False","False","False","True",64.9666666666667,"Evening"
1,0,"Shoulder blocked due to crash on I-95 Northbound after Exit 160 NC-561.",36.295815,-77.711472,"Roanoke Rapids","Halifax","NC","2022-08-19 04:02:41","2022-08-19 05:02:29","US/Eastern",59,59,100,29.91,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",59.8,"Night"
1,0,"Crash on US-90 Mudd Ave Eastbound at US-167 Evangeline Thwy.",30.23308,-92.013741,"Lafayette","Lafayette","LA","2022-08-29 07:50:38","2022-08-29 08:20:11","US/Central",76,76,94,29.9,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",29.55,"Night"
1,0,"Earlier crash on Race Track Rd near CR-865 Bonita Beach Rd.",26.33116,-81.774757,"Bonita Springs","Lee","FL","2022-08-03 05:14:28","2022-08-03 06:13:21","US/Eastern",75,75,87,29.99,10,"CALM",0,0,"Fair","False","False","True","False","False","False","True",58.8833333333333,"Night"
1,0,"Crash on Robbins Rd at US-31.",43.044479,-86.220268,"Grand Haven","Ottawa","MI","2022-07-29 08:28:14","2022-07-29 09:27:36","US/Eastern",73,73,61,29.3,10,"W",8,0,"Fair","False","False","False","False","False","False","True",59.3666666666667,"Night"
1,0,"At S Camino Seco - Accident.",32.2161,-110.8068,"Tucson","Pima","AZ","2020-05-27 14:12:21","2020-05-27 14:57:21","US/Mountain",97,97,7,27.12,10,"NW",9,0,"Fair","False","False","True","False","False","False","True",45,"Afternoon"
1,0,"Crash on Loop Rd at Sc-366.",33.959641,-78.829727,"Loris","Horry","SC","2022-08-02 04:11:14","2022-08-02 05:27:53","US/Eastern",78,78,78,29.91,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",76.65,"Night"
1,0,"Crash on Donnan Rd at Lee Rd.",34.896198,-82.345818,"Taylors","Greenville","SC","2022-06-24 16:55:28","2022-06-24 17:25:16","US/Eastern",89,89,46,28.99,10,"ESE",8,0,"Mostly Cloudy","False","False","False","False","False","False","False",29.8,"Afternoon"
1,0,"At Neelys Bend Rd - Accident.",36.26222,-86.71221,"Madison","Davidson","TN","2020-06-18 16:16:00","2020-06-18 17:35:58","US/Central",83,83,42,29.39,10,"VAR",7,0,"Mostly Cloudy","False","False","False","False","False","False","False",79.9666666666667,"Afternoon"
1,0.993,"At RT-37/Granite St/Exit 6 - Accident.",42.20918,-71.04869,"Quincy","Norfolk","MA","2020-05-08 23:00:55","2020-05-09 00:30:55","US/Eastern",45,45,80,29.54,7,"CALM",0,0.05,"Light Rain","False","False","False","False","False","False","False",90,"Night"
1,0,"At 40th Ave - Accident.",36.15286,-86.8235,"Nashville","Davidson","TN","2020-06-02 10:04:45","2020-06-02 11:24:43","US/Central",82,82,54,29.51,10,"SSW",8,0,"Partly Cloudy","False","False","True","False","False","False","False",79.9666666666667,"Morning"
1,0,"At Southern Ave - Accident.",33.39958,-112.07341,"Phoenix","Maricopa","AZ","2020-06-27 21:24:42","2020-06-27 22:24:42","US/Mountain",99,99,15,28.5,10,"W",10,0,"Fair","False","False","True","False","False","False","True",60,"Evening"
1,0,"At N Mountain Ave - Accident.",32.2499,-110.94832,"Tucson","Pima","AZ","2020-04-14 06:55:09","2020-04-14 07:40:09","US/Mountain",49,45,64,27.25,10,"SSE",7,0,"Fair","False","False","True","False","False","False","False",45,"Night"
1,0,"At Hondo Pass Dr - Accident.",31.85512,-106.43777,"El Paso","El Paso","TX","2020-05-07 19:46:36","2020-05-07 20:31:36","US/Mountain",93,93,5,25.81,10,"WNW",14,0,"Fair","False","False","False","False","False","False","True",45,"Evening"
1,0,"Crash on SC-700 Maybank Hwy at Paulette Dr.",32.727249,-80.06929,"Johns Island","Charleston","SC","2022-04-29 04:58:48","2022-04-29 05:43:34","US/Eastern",54,54,94,30.1,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",44.7666666666667,"Night"
1,0,"At N 1st Ave - Accident.",32.29724,-110.97823,"Tucson","Pima","AZ","2020-04-02 11:06:24","2020-04-02 11:51:24","US/Mountain",72,72,20,27.12,10,"SE",9,0,"Fair","False","False","False","False","False","False","True",45,"Morning"
1,0,"At S Kolb Rd - Accident.",32.19189,-110.8411,"Tucson","Pima","AZ","2020-04-22 18:03:12","2020-04-22 18:48:12","US/Mountain",81,81,18,27.15,10,"NW",15,0,"Fair","False","False","True","False","False","False","True",45,"Evening"
1,0,"At US-431/W Trinity Ln - Accident.",36.20705,-86.79161,"Nashville","Davidson","TN","2020-05-05 12:58:11","2020-05-05 13:43:11","US/Central",68,68,70,29.22,10,"W",15,0,"Cloudy","False","False","True","False","False","False","True",45,"Afternoon"
1,0,"Crash on 59th St at OH-87 Woodland Ave.",41.488022,-81.649132,"Cleveland","Cuyahoga","OH","2022-05-31 10:31:28","2022-05-31 11:30:56","US/Eastern",83,83,54,29.43,9,"WSW",9,0,"Fair","False","False","False","False","False","False","True",59.4666666666667,"Morning"
1,5.26000022888184,"Left hand shoulder blocked due to crash on I-275 Northbound between Exit 21 Kilby Rd and Exit 25 / I-74.",39.218449,-84.739655,"Cleves","Hamilton","OH","2022-05-03 07:12:29","2022-05-03 07:56:03","US/Eastern",58,58,93,28.94,8,"SSE",12,0,"Light Rain","False","False","False","False","False","False","False",43.5666666666667,"Night"
1,0,"Crash on VA-10 Iron Bridge Rd both ways at Cogbill Rd.",37.433575,-77.490784,"Richmond","Chesterfield","VA","2022-07-05 08:10:46","2022-07-05 09:34:46","US/Eastern",72,72,91,29.88,10,"S",8,0,"Cloudy","False","False","False","False","False","False","True",84,"Night"
1,0,"Crash on NC-24 Wt Harris Blvd at Lawyers Rd.",35.205669,-80.726082,"Charlotte","Mecklenburg","NC","2022-07-27 17:08:11","2022-07-27 17:37:55","US/Eastern",92,92,48,29.21,10,"WSW",7,0,"Mostly Cloudy","False","False","True","False","False","False","True",29.7333333333333,"Afternoon"
1,0,"Crash on Ambassador Caffery Pkwy at LA-3184 Bertrand Dr.",30.229153,-92.062714,"Lafayette","Lafayette","LA","2022-08-18 07:58:03","2022-08-18 08:44:27","US/Central",82,82,85,29.89,10,"W",6,0,"Fair","False","False","False","False","False","False","False",46.4,"Night"
1,0,"Ramp to I-205/Veterans Memorial Hwy NB - Accident.",45.37073,-122.74762,"Tualatin","Washington","OR","2020-06-09 16:09:49","2020-06-09 16:24:49","US/Pacific",64,64,78,29.96,10,"S",14,0,"Cloudy","False","False","False","False","False","False","False",15,"Afternoon"
1,0,"At S 2700 W - Accident.",40.57321,-111.9578,"South Jordan","Salt Lake","UT","2020-04-01 18:30:37","2020-04-01 19:05:35","US/Mountain",47,39,59,25.42,10,"NNW",25,0,"Cloudy / Windy","False","False","True","False","False","False","True",34.9666666666667,"Evening"
1,0.003,"At E Grant Rd - Accident.",32.25789,-110.9098,"Tucson","Pima","AZ","2020-04-22 15:10:00","2020-04-22 16:04:59","US/Mountain",80,80,20,27.18,10,"WNW",7,0,"Fair","False","False","False","False","False","False","True",54.9833333333333,"Afternoon"
1,2.39000010490417,"Exit ramp from Central Florida Greeneway Southbound to FL-426 lane blocked due to crash truck involved.",28.62055,-81.259193,"Oviedo","Seminole","FL","2022-09-07 16:11:33","2022-09-07 16:39:06","US/Eastern",86,86,72,29.8,10,"ENE",15,0.04,"Light Rain with Thunder","False","False","False","False","False","False","False",27.55,"Afternoon"
1,0,"At Page Road - Accident. Right lane closed.",35.88503,-78.84252,"Durham","Durham","NC","2020-06-13 06:38:00","2020-06-13 07:38:00","US/Eastern",67,67,90,29.7,10,"ENE",8,0,"Mostly Cloudy","False","False","False","True","False","False","False",60,"Night"
1,0,"Crash on Prestonwood Blvd at Belt Line Rd .",32.954025,-96.813744,"Dallas","Dallas","TX","2022-08-09 06:03:58","2022-08-09 07:03:41","US/Central",84,84,58,29.33,13,"SSW",7,0,"Fair","False","False","True","False","False","False","True",59.7166666666667,"Night"
1,0,"At Bluebonnet Blvd - Accident.",30.41673,-91.08898,"Baton Rouge","East Baton Rouge","LA","2020-04-23 16:41:04","2020-04-23 17:16:02","US/Central",83,83,60,29.58,9,"WNW",13,0,"Fair","False","False","False","False","False","False","True",34.9666666666667,"Afternoon"
1,0,"Accident on Ridgeway Ct at Saluda Dam Rd.",34.847252,-82.553627,"Easley","Pickens","SC","2020-11-20 17:26:50","2020-11-20 18:25:56","US/Eastern",61,61,67,29.32,10,"S",3,0,"Fair","False","False","False","False","False","False","False",59.1,"Afternoon"
1,0,"At John Rolfe Pkwy - Earlier accident.",37.6331,-77.61292,"Henrico","Henrico","VA","2020-06-09 18:19:31","2020-06-09 18:54:29","US/Eastern",89,89,46,29.71,9,"SW",8,0,"Fair","False","False","True","False","False","False","True",34.9666666666667,"Evening"
1,0,"Crash on Linebaugh Ave at CR-587 Gunn Hwy.",28.04014,-82.508904,"Tampa","Hillsborough","FL","2022-06-24 08:52:41","2022-06-24 09:56:15","US/Eastern",88,88,72,29.9,7,"WSW",10,0,"Partly Cloudy","False","False","False","False","False","False","True",63.5666666666667,"Night"
1,0,"Crash on Highland Park Way Eastbound at 2nd Ave.",47.539768,-122.337112,"Seattle","King","WA","2022-05-31 15:52:15","2022-05-31 16:40:21","US/Pacific",67,67,52,30.08,10,"NW",9,0,"Fair","False","False","True","False","True","False","True",48.1,"Afternoon"
1,0,"Crash on Beecher Rd at Seymour Rd.",43.030022,-83.861549,"Flushing","Genesee","MI","2022-06-16 05:51:38","2022-06-16 06:21:13","US/Eastern",78,78,74,29.07,10,"WSW",8,0,"Thunder in the Vicinity","False","False","False","False","False","False","False",29.5833333333333,"Night"
1,0,"At US-1/US-301/Chamberlayne Ave - Earlier accident.",37.56684,-77.44436,"Richmond","Richmond City","VA","2020-04-02 16:38:34","2020-04-02 16:53:34","US/Eastern",65,65,24,29.63,10,"NW",24,0,"Fair / Windy","False","False","True","False","False","False","True",15,"Afternoon"
1,2.67000007629395,"Crash on OH-126 Ronald Reagan Cross County Hwy Eastbound between Exit 22 US-127 Hamilton Ave and Exit 24 Winton Rd.",39.218777,-84.5196,"Cincinnati","Hamilton","OH","2022-06-08 11:49:16","2022-06-08 12:38:00","US/Eastern",76,76,58,29.24,10,"E",7,0,"Fair","False","False","False","True","False","False","False",48.7333333333333,"Morning"
1,0,"Right hand shoulder blocked due to crash on I-580 Westbound at Exit 63 Grant Line Rd.",37.740429,-121.585709,"Tracy","Alameda","CA","2022-05-13 05:05:48","2022-05-13 06:10:26","US/Pacific",48,48,89,29.81,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",64.6333333333333,"Night"
1,0,"Crash on 10th St at Farley Dr.",39.779465,-86.275627,"Indianapolis","Marion","IN","2022-07-06 04:12:54","2022-07-06 04:42:42","US/Eastern",85,85,74,29.01,10,"VAR",5,0,"Fair","False","False","False","False","False","False","True",29.8,"Night"
1,0,"At 23rd Ave - Accident. Right lane blocked.",37.77687,-122.23626,"Oakland","Alameda","CA","2020-05-11 22:49:57","2020-05-11 23:19:57","US/Pacific",62,62,75,29.97,10,"SSW",15,0,"Partly Cloudy","False","False","False","False","False","False","False",30,"Night"
1,0,"At CR-809A/Northlake Blvd - Earlier accident.",26.81012,-80.15286,"Palm Beach Gardens","Palm Beach","FL","2020-03-25 09:07:23","2020-03-25 10:27:21","US/Eastern",74,74,79,30.02,10,"WSW",5,0,"Fair","False","False","False","False","False","False","True",79.9666666666667,"Night"
1,0,"Crash on 24th St at Cesar E Chavez Blvd.",29.425501,-98.543091,"San Antonio","Bexar","TX","2022-05-11 07:53:51","2022-05-11 08:23:29","US/Central",75,75,88,29.32,7,"SE",10,0,"Mostly Cloudy","False","False","False","False","False","False","True",29.6333333333333,"Night"
1,0,"Crash on US-64-BR New Bern Ave at Corporation Pkwy.",35.799011,-78.568375,"Raleigh","Wake","NC","2022-06-23 08:29:44","2022-06-23 08:59:26","US/Eastern",72,72,93,29.46,10,"E",7,0,"Mostly Cloudy","False","False","True","False","False","False","True",29.7,"Night"
1,0,"At VA-895/Pocahontas Pky - Earlier accident.",37.49882,-77.34027,"Henrico","Henrico","VA","2020-05-07 07:06:13","2020-05-07 07:21:13","US/Eastern",45,42,80,29.73,10,"NW",6,0,"Fair","False","False","False","False","False","False","True",15,"Night"
1,0,"Crash on US-41 Westside Dr at Elder St.",35.011169,-85.271751,"Chattanooga","Hamilton","TN","2022-09-01 08:12:27","2022-09-01 09:01:11","US/Eastern",65,65,81,29.33,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False",48.7333333333333,"Night"
1,0,"Crash on US-78 King St at Congress St.",32.79932,-79.947342,"Charleston","Charleston","SC","2022-05-31 07:02:57","2022-05-31 08:02:45","US/Eastern",72,72,100,30.09,8,"CALM",0,0,"Fair","False","False","False","False","False","False","False",59.8,"Night"
1,0,"At UT-173/W 5400 S - Accident. Hard shoulder blocked.",40.65304,-112.02465,"Salt Lake City","Salt Lake","UT","2020-04-28 07:06:16","2020-04-28 07:51:16","US/Mountain",52,52,59,25.88,10,"CALM",0,0,"Mostly Cloudy","False","False","True","False","False","False","True",45,"Night"
1,0,"Crash on FL-78 Bayshore Rd at Nalle Rd.",26.715,-81.801643,"North Fort Myers","Lee","FL","2022-08-25 06:55:28","2022-08-25 08:42:09","US/Eastern",77,77,94,29.97,10,"E",5,0,"Fair","False","False","False","False","False","False","True",106.683333333333,"Night"
1,0,"Crash on Bethany Church Rd at SC-6.",33.878551,-81.217102,"Lexington","Lexington","SC","2022-08-19 07:56:03","2022-08-19 08:25:45","US/Eastern",71,71,96,29.75,6,"NNE",6,0,"Cloudy","False","False","False","False","False","False","False",29.7,"Night"
1,0,"Crash on Tuckaseegee Rd at Ashley Rd.",35.244061,-80.89576,"Charlotte","Mecklenburg","NC","2022-02-16 17:19:12","2022-02-16 19:18:48","US/Eastern",63,63,56,29.61,10,"S",21,0,"Mostly Cloudy / Windy","False","False","False","False","False","False","True",119.6,"Afternoon"
1,1.926,"At US-360/Hull St Rd - Accident. Hard shoulder blocked.",37.45031,-77.63738,"Midlothian","Chesterfield","VA","2020-05-18 17:16:15","2020-05-18 17:31:15","US/Eastern",62,62,96,29.68,10,"NNE",12,0,"Cloudy","False","False","False","False","False","False","False",15,"Afternoon"
1,0,"At MacArthur Dr - Accident. Hard shoulder blocked.",37.76382,-121.41856,"Tracy","San Joaquin","CA","2020-06-10 00:16:29","2020-06-10 00:46:29","US/Pacific",73,73,39,29.99,10,"W",8,0,"Fair","False","False","False","False","False","False","False",30,"Night"
1,0,"Right hand shoulder blocked due to crash on I-15 Northbound at Exit 275 Pleasant Grove Blvd.",40.350243,-111.769371,"Pleasant Grove","Utah","UT","2022-09-06 08:23:08","2022-09-06 09:08:51","US/Mountain",64,64,45,25.62,10,"CALM",0,0,"Fair","False","False","False","True","False","False","False",45.7166666666667,"Night"
1,0,"Crash on Bennington St at Saratoga St.",42.3866,-71.007126,"Boston","Suffolk","MA","2022-07-19 07:20:47","2022-07-19 08:21:19","US/Eastern",75,75,76,29.57,10,"W",17,0,"Fair","False","False","True","False","False","False","True",60.5333333333333,"Night"
1,0,"Crash on San Pedro Dr at Menaul Blvd.",35.10918,-106.578133,"Albuquerque","Bernalillo","NM","2022-04-29 07:38:39","2022-04-29 08:08:15","US/Mountain",56,56,20,24.61,10,"W",7,0,"Fair","False","False","True","False","False","False","False",29.6,"Night"
1,0,"Crash on Dove Tree Ln at Elgywood Ln.",35.26836,-80.772018,"Charlotte","Mecklenburg","NC","2022-06-24 06:08:54","2022-06-24 06:38:33","US/Eastern",70,70,83,29.29,10,"ENE",3,0,"Partly Cloudy","False","False","False","False","False","False","False",29.65,"Night"
1,0,"Crash on Westbrook Rd near Heckathorn Rd.",39.831905,-84.38282,"Brookville","Montgomery","OH","2022-07-22 06:44:48","2022-07-22 07:31:44","US/Eastern",73,73,81,28.87,10,"WSW",8,0,"Fair","False","False","False","False","False","False","False",46.9333333333333,"Night"
1,0,"One lane blocked and left hand shoulder blocked due to crash on I-710 Southbound at Exit 13 CA-42 Firestone Blvd.",33.949787,-118.170547,"South Gate","Los Angeles","CA","2022-07-08 09:06:33","2022-07-08 09:53:41","US/Pacific",66,66,81,29.84,7,"CALM",0,0,"Cloudy","False","False","False","False","False","False","False",47.1333333333333,"Night"
1,0,"Crash on Bombing Range Rd at SC-90.",33.85527,-78.760818,"Longs","Horry","SC","2022-07-04 04:21:17","2022-07-04 06:24:08","US/Eastern",79,79,90,30.02,10,"CALM",0,0,"Cloudy","False","False","False","False","False","False","False",122.85,"Night"
1,0,"Left lane blocked due to accident on FL-826 Eastbound at 167th St.",25.926317,-80.246849,"Opa Locka","Miami-Dade","FL","2020-01-13 15:31:11","2020-01-13 17:19:54","US/Eastern",80,80,64,30.25,10,"E",16,0,"Fair","False","False","False","False","False","False","False",108.716666666667,"Afternoon"
